timestamp,event_type,step,operation,domain_mode,agent_strategy_pref,retrieval_mode,query_artifact_id,retrieved_artifact_id,artifact_id,creator_id,accepted_by,relation_type,relevance_score,is_new_artifact,domain_size,retrieval_rank,retrieval_pool_size,retrieval_bucket,retrieval_estimated_novelty,retrieval_fallback_random,root_creator_id,lineage_depth,generation_step,entered_domain_step,views,shares,domain_entry_count,nearest_domain_artifact_id,nearest_domain_similarity,domain_source,domain_parent_id
2026-04-22T14:43:56.011826,domain_event,0,add,flat,,flat,,9,9,9,7,accepted_into_domain,,False,10,,,,,,9,0,0,0,2,2,3,4,0.9002621173858643,generation,
2026-04-22T14:43:56.016425,domain_event,0,add,flat,,flat,,10,10,10,19,accepted_into_domain,,True,11,,,,,,10,0,0,0,0,0,1,3,0.9602482318878174,generation,
2026-04-22T14:43:56.021025,domain_event,0,add,flat,,flat,,10,10,10,7,accepted_into_domain,,False,11,,,,,,10,0,0,0,1,1,2,3,0.9602482318878174,generation,
2026-04-22T14:43:56.025616,domain_event,0,add,flat,,flat,,10,10,10,0,accepted_into_domain,,False,11,,,,,,10,0,0,0,2,2,3,3,0.9602482318878174,generation,
2026-04-22T14:43:56.030631,domain_event,0,add,flat,,flat,,11,11,11,2,accepted_into_domain,,True,12,,,,,,11,0,0,0,0,0,1,10,0.9462587833404541,generation,
2026-04-22T14:43:56.037820,domain_event,0,add,flat,,flat,,11,11,11,1,accepted_into_domain,,False,12,,,,,,11,0,0,0,1,1,2,10,0.9462587833404541,generation,
2026-04-22T14:43:56.046384,domain_event,0,add,flat,,flat,,11,11,11,7,accepted_into_domain,,False,12,,,,,,11,0,0,0,2,2,3,10,0.9462587833404541,generation,
2026-04-22T14:43:56.180561,domain_event,0,add,flat,,flat,,12,12,12,2,accepted_into_domain,,True,13,,,,,,12,0,0,0,0,0,1,4,0.9761213064193726,generation,
2026-04-22T14:43:56.274676,domain_event,0,add,flat,,flat,,12,12,12,1,accepted_into_domain,,False,13,,,,,,12,0,0,0,1,1,2,4,0.9761213064193726,generation,
2026-04-22T14:43:56.494051,domain_event,0,add,flat,,flat,,12,12,12,10,accepted_into_domain,,False,13,,,,,,12,0,0,0,2,2,3,4,0.9761213064193726,generation,
2026-04-22T14:43:56.548438,domain_event,0,add,flat,,flat,,13,13,13,2,accepted_into_domain,,True,14,,,,,,13,0,0,0,0,0,1,9,0.8747828006744385,generation,
2026-04-22T14:43:56.554546,domain_event,0,add,flat,,flat,,13,13,13,17,accepted_into_domain,,False,14,,,,,,13,0,0,0,1,1,2,9,0.8747828006744385,generation,
2026-04-22T14:43:56.560581,domain_event,0,add,flat,,flat,,13,13,13,7,accepted_into_domain,,False,14,,,,,,13,0,0,0,2,2,3,9,0.8747828006744385,generation,
2026-04-22T14:43:56.659151,domain_event,0,add,flat,,flat,,14,14,14,8,accepted_into_domain,,True,15,,,,,,14,0,0,0,0,0,1,3,0.9932421445846558,generation,
2026-04-22T14:43:56.727655,domain_event,0,add,flat,,flat,,14,14,14,16,accepted_into_domain,,False,15,,,,,,14,0,0,0,1,1,2,3,0.9932421445846558,generation,
2026-04-22T14:43:56.787964,domain_event,0,add,flat,,flat,,14,14,14,6,accepted_into_domain,,False,15,,,,,,14,0,0,0,2,2,3,3,0.9932421445846558,generation,
2026-04-22T14:43:56.794710,domain_event,0,add,flat,,flat,,15,15,15,18,accepted_into_domain,,True,16,,,,,,15,0,0,0,0,0,1,12,0.980900228023529,generation,
2026-04-22T14:43:56.801366,domain_event,0,add,flat,,flat,,15,15,15,4,accepted_into_domain,,False,16,,,,,,15,0,0,0,1,1,2,12,0.980900228023529,generation,
2026-04-22T14:43:56.967079,domain_event,0,add,flat,,flat,,15,15,15,16,accepted_into_domain,,False,16,,,,,,15,0,0,0,2,2,3,12,0.980900228023529,generation,
2026-04-22T14:43:57.316355,domain_event,0,add,flat,,flat,,16,16,16,7,accepted_into_domain,,True,17,,,,,,16,0,0,0,0,0,1,8,0.9661499261856079,generation,
