Source,Target,Weight,Type
4,0,0.7716,Directed
7,2,0.7896,Directed
15,2,1.5722,Directed
15,6,0.7949,Directed
5,3,0.8004,Directed
19,11,0.7534,Directed
2,14,1.5734,Directed
8,18,0.7559,Directed
18,14,0.8002,Directed
12,19,0.7549,Directed
0,14,0.7434,Directed
13,5,0.7711,Directed
18,17,0.7948,Directed
18,10,1.5739,Directed
14,2,0.7952,Directed
0,12,0.7995,Directed
17,4,0.7399,Directed
0,11,0.7532,Directed
14,17,0.7915,Directed
16,2,0.8004,Directed
9,1,0.7703,Directed
11,17,0.7937,Directed
0,16,0.7996,Directed
0,6,0.7945,Directed
11,18,0.8004,Directed
13,8,0.7872,Directed
5,7,0.7717,Directed
