Source,Target,Weight,Type
46,44,0.7152,Directed
46,38,0.7014,Directed
45,46,0.7614,Directed
33,38,0.7377,Directed
39,45,0.7522,Directed
44,46,0.7655,Directed
44,35,0.7256,Directed
33,36,0.7662,Directed
36,31,0.7958,Directed
43,33,0.7753,Directed
43,44,0.7718,Directed
42,45,0.8004,Directed
35,51,0.7648,Directed
39,49,0.7296,Directed
53,44,0.7587,Directed
46,48,0.7156,Directed
45,35,0.8000,Directed
49,39,0.7816,Directed
49,41,0.7952,Directed
56,54,0.8229,Directed
51,55,0.8377,Directed
35,39,0.7745,Directed
51,54,1.6325,Directed
51,36,0.7992,Directed
42,55,0.7111,Directed
45,53,0.7500,Directed
51,41,0.7456,Directed
56,39,0.7976,Directed
56,47,0.7118,Directed
56,44,0.7797,Directed
39,41,0.7779,Directed
39,53,0.7403,Directed
54,42,0.7774,Directed
49,58,0.7600,Directed
54,56,0.7977,Directed
54,36,0.7384,Directed
56,55,0.7730,Directed
44,52,0.8001,Directed
44,45,0.7783,Directed
58,51,1.5238,Directed
47,36,0.7831,Directed
47,55,0.7410,Directed
46,49,0.7921,Directed
48,56,0.7468,Directed
55,49,0.7390,Directed
45,47,2.2950,Directed
36,49,0.7960,Directed
48,54,0.7875,Directed
45,52,0.7527,Directed
45,42,0.7617,Directed
55,42,0.7550,Directed
36,59,0.8240,Directed
54,44,0.7787,Directed
54,52,1.5536,Directed
36,46,0.7979,Directed
56,45,0.7995,Directed
56,61,0.7518,Directed
54,41,0.8004,Directed
46,60,0.8760,Directed
58,45,0.7655,Directed
58,53,0.7947,Directed
52,49,0.7248,Directed
52,54,0.7689,Directed
60,54,0.8004,Directed
46,45,0.7449,Directed
45,49,1.4270,Directed
41,53,0.8004,Directed
41,54,0.7964,Directed
53,47,0.7943,Directed
59,49,0.7811,Directed
59,45,0.8004,Directed
59,66,3.0985,Directed
45,55,0.7948,Directed
58,66,0.7578,Directed
57,67,0.8892,Directed
56,49,0.7127,Directed
55,60,0.7078,Directed
57,45,0.8002,Directed
57,59,0.7107,Directed
61,47,0.7821,Directed
61,54,0.7452,Directed
55,45,0.7820,Directed
47,56,0.7890,Directed
59,52,1.5797,Directed
45,66,0.7953,Directed
68,49,0.7580,Directed
61,52,0.7798,Directed
49,59,0.7485,Directed
57,52,0.8000,Directed
67,49,0.7831,Directed
67,63,0.7583,Directed
66,49,0.7193,Directed
53,61,0.7952,Directed
53,68,0.8069,Directed
47,70,0.7178,Directed
53,66,0.7432,Directed
61,66,1.5420,Directed
55,57,0.7786,Directed
68,53,0.7883,Directed
69,60,0.7992,Directed
55,61,1.4760,Directed
68,66,0.7894,Directed
47,57,0.7558,Directed
60,71,0.8937,Directed
52,66,0.8003,Directed
66,73,2.4625,Directed
62,67,0.7806,Directed
71,61,0.7849,Directed
59,60,0.7985,Directed
54,57,0.7496,Directed
66,74,1.6254,Directed
66,68,0.6719,Directed
66,54,0.7682,Directed
61,70,0.6899,Directed
54,61,0.7193,Directed
54,66,0.7784,Directed
72,74,1.5444,Directed
74,52,0.7261,Directed
52,68,0.7984,Directed
59,74,1.5159,Directed
66,53,0.7258,Directed
72,65,1.5415,Directed
67,70,0.7961,Directed
60,59,0.7281,Directed
60,53,0.7665,Directed
65,69,0.7972,Directed
65,68,0.7301,Directed
60,61,1.5602,Directed
74,66,1.5837,Directed
61,63,1.5973,Directed
61,65,0.7824,Directed
69,53,0.7560,Directed
69,68,0.7811,Directed
65,72,0.7444,Directed
65,57,0.7768,Directed
72,67,0.7534,Directed
69,61,0.7894,Directed
60,69,0.8004,Directed
68,60,0.7920,Directed
68,74,0.7801,Directed
62,77,0.8329,Directed
65,60,0.7933,Directed
72,78,0.8409,Directed
76,69,0.7978,Directed
