Source,Target,Weight,Type
40,44,0.7875,Directed
42,29,0.7554,Directed
46,42,0.7645,Directed
39,46,0.7933,Directed
33,36,0.7968,Directed
45,35,0.7626,Directed
29,42,0.7845,Directed
51,52,0.7655,Directed
33,43,0.7362,Directed
33,52,0.7681,Directed
43,51,0.8624,Directed
43,33,0.7536,Directed
50,54,0.7604,Directed
45,42,0.7690,Directed
42,31,0.7955,Directed
36,45,1.5667,Directed
36,44,2.3039,Directed
51,45,0.7535,Directed
48,35,0.7526,Directed
45,54,0.8583,Directed
45,44,0.7949,Directed
49,55,0.8547,Directed
36,56,0.8132,Directed
43,55,0.7966,Directed
43,56,0.8214,Directed
56,54,0.7447,Directed
44,42,0.7945,Directed
48,56,0.8364,Directed
35,51,0.7934,Directed
39,55,0.7688,Directed
54,33,0.7911,Directed
36,51,0.7607,Directed
54,55,1.5146,Directed
55,51,0.7948,Directed
51,36,0.7674,Directed
51,50,0.7982,Directed
51,41,0.7696,Directed
54,39,0.7754,Directed
55,54,1.5451,Directed
41,46,0.7569,Directed
54,44,0.7409,Directed
44,46,0.7765,Directed
51,53,0.7768,Directed
51,58,0.7541,Directed
36,54,0.7633,Directed
55,56,1.5479,Directed
55,49,0.7752,Directed
45,46,1.5530,Directed
54,45,0.7944,Directed
54,42,0.7312,Directed
45,55,0.7669,Directed
53,46,1.5878,Directed
53,50,0.7206,Directed
42,55,0.7969,Directed
54,47,0.7343,Directed
54,60,0.7714,Directed
53,60,1.6297,Directed
47,56,0.7904,Directed
62,55,0.7974,Directed
55,52,1.5744,Directed
52,65,0.7824,Directed
65,53,0.7191,Directed
65,56,0.7683,Directed
52,55,1.5782,Directed
53,56,0.7378,Directed
56,68,0.7721,Directed
54,68,1.6350,Directed
45,56,0.7931,Directed
54,59,0.7157,Directed
45,68,0.6955,Directed
52,45,0.7539,Directed
55,45,0.7975,Directed
49,59,0.7146,Directed
56,55,0.7952,Directed
67,54,0.7913,Directed
67,60,0.8004,Directed
53,66,0.7524,Directed
66,53,0.7167,Directed
66,54,0.7950,Directed
53,68,1.5694,Directed
53,52,0.7987,Directed
53,49,0.6774,Directed
65,63,0.7840,Directed
58,62,0.7504,Directed
58,55,0.7902,Directed
55,65,0.8001,Directed
58,54,1.5880,Directed
58,63,0.7447,Directed
60,66,0.7289,Directed
63,55,0.7509,Directed
66,68,2.4004,Directed
58,59,0.7584,Directed
61,60,1.5798,Directed
54,61,0.6476,Directed
66,59,0.6334,Directed
68,72,0.6952,Directed
73,62,0.7696,Directed
73,59,0.8003,Directed
61,68,0.7352,Directed
59,62,0.7672,Directed
52,62,0.6992,Directed
67,73,0.6528,Directed
67,61,0.7825,Directed
65,72,0.8776,Directed
68,53,0.7072,Directed
68,54,0.7628,Directed
65,74,0.8403,Directed
68,59,1.4715,Directed
57,54,0.7339,Directed
62,74,0.8398,Directed
62,73,0.7331,Directed
54,72,0.8294,Directed
74,72,0.8174,Directed
52,72,0.7749,Directed
65,66,0.7919,Directed
70,74,0.8390,Directed
70,60,0.8000,Directed
70,61,0.7871,Directed
70,63,0.7509,Directed
53,74,0.8005,Directed
77,61,0.7585,Directed
77,65,0.7170,Directed
67,76,0.8085,Directed
53,63,0.7952,Directed
60,57,1.5403,Directed
63,59,0.7974,Directed
66,74,0.7998,Directed
