Source,Target,Weight,Type
54,49,0.7995,Directed
49,44,0.7845,Directed
47,41,1.5831,Directed
47,31,0.7683,Directed
53,50,0.7990,Directed
43,42,0.7982,Directed
31,33,0.7429,Directed
55,36,0.7715,Directed
33,42,0.7971,Directed
33,43,0.7583,Directed
36,45,0.7795,Directed
48,55,0.8408,Directed
35,36,0.8004,Directed
36,54,0.7844,Directed
36,56,0.8322,Directed
36,55,1.5221,Directed
54,52,0.7917,Directed
54,55,2.4034,Directed
45,33,0.8004,Directed
42,39,0.7961,Directed
35,52,0.7646,Directed
55,48,0.7845,Directed
33,55,0.7665,Directed
54,45,1.5674,Directed
58,39,0.7986,Directed
42,44,0.7939,Directed
42,50,0.7690,Directed
48,54,0.7435,Directed
44,41,0.7767,Directed
45,49,0.7975,Directed
58,49,1.5860,Directed
58,36,0.7876,Directed
56,45,1.4687,Directed
53,55,1.5797,Directed
53,35,0.7871,Directed
48,56,0.7976,Directed
51,54,0.7987,Directed
46,47,0.8004,Directed
46,56,0.8004,Directed
58,45,0.7923,Directed
58,47,0.7913,Directed
58,46,0.7966,Directed
48,36,0.7945,Directed
54,42,0.7977,Directed
46,52,0.8004,Directed
62,61,0.7850,Directed
58,41,0.8003,Directed
55,46,0.7686,Directed
58,54,1.5576,Directed
45,66,0.8404,Directed
66,67,0.8447,Directed
66,53,0.8003,Directed
55,49,0.7989,Directed
55,56,1.5054,Directed
55,45,2.2589,Directed
58,52,0.7970,Directed
58,59,1.3969,Directed
56,53,0.7984,Directed
45,53,0.7698,Directed
45,52,0.7996,Directed
53,49,0.7988,Directed
60,68,0.8500,Directed
54,68,1.5807,Directed
55,53,1.5486,Directed
54,60,0.7403,Directed
54,70,0.7178,Directed
55,52,0.7010,Directed
58,53,0.7788,Directed
68,61,1.4725,Directed
68,55,0.7353,Directed
54,66,0.6873,Directed
58,70,0.7604,Directed
60,54,0.7997,Directed
60,47,0.7845,Directed
55,54,1.4878,Directed
55,68,1.4995,Directed
61,60,0.6964,Directed
61,52,1.4851,Directed
59,55,0.7659,Directed
59,52,0.7088,Directed
54,61,1.4345,Directed
58,63,0.7704,Directed
53,52,1.5394,Directed
53,54,0.7987,Directed
52,53,0.7430,Directed
66,63,0.7918,Directed
54,53,0.7991,Directed
68,53,0.8004,Directed
61,73,0.7958,Directed
72,53,0.7902,Directed
57,63,0.7993,Directed
62,63,0.7882,Directed
72,65,0.7485,Directed
57,66,0.7805,Directed
57,61,0.7983,Directed
54,74,0.8279,Directed
66,57,0.7562,Directed
68,66,0.7298,Directed
72,60,0.7989,Directed
63,66,0.7758,Directed
68,72,0.7523,Directed
53,63,0.7331,Directed
71,60,0.7043,Directed
60,76,0.7013,Directed
68,63,0.7115,Directed
66,72,0.7052,Directed
68,73,0.7951,Directed
68,65,0.7921,Directed
61,76,0.7367,Directed
63,61,1.5012,Directed
63,68,0.7984,Directed
73,62,0.7725,Directed
74,60,1.5908,Directed
76,69,0.7346,Directed
71,77,0.6731,Directed
61,69,0.8003,Directed
65,63,0.7859,Directed
59,66,0.7997,Directed
66,60,0.7818,Directed
72,59,0.6908,Directed
72,63,0.7156,Directed
73,57,0.7254,Directed
53,74,0.6912,Directed
53,60,0.8004,Directed
53,72,0.6762,Directed
77,76,0.7722,Directed
60,72,0.7289,Directed
72,78,0.8351,Directed
74,71,0.7974,Directed
74,63,0.7895,Directed
73,63,0.7975,Directed
66,78,0.7507,Directed
80,66,0.7579,Directed
74,70,0.7506,Directed
77,66,1.5167,Directed
67,73,0.7138,Directed
80,53,0.7572,Directed
61,53,0.7989,Directed
61,74,0.7348,Directed
59,80,0.7412,Directed
63,80,0.7466,Directed
63,71,0.7961,Directed
76,66,0.7379,Directed
76,59,0.7628,Directed
62,78,0.7869,Directed
63,76,0.7017,Directed
74,73,0.7933,Directed
74,59,0.7855,Directed
82,66,1.5879,Directed
82,80,0.7960,Directed
66,73,0.7635,Directed
73,70,1.5252,Directed
74,66,0.7968,Directed
73,60,0.7270,Directed
60,59,0.7431,Directed
60,71,0.7947,Directed
85,66,0.7973,Directed
85,59,0.7144,Directed
78,59,1.5844,Directed
78,82,1.4450,Directed
76,77,0.6691,Directed
86,77,0.7186,Directed
76,60,0.7830,Directed
81,77,0.7914,Directed
77,59,0.7849,Directed
74,76,0.7813,Directed
77,74,0.7794,Directed
71,74,0.7513,Directed
71,82,0.7267,Directed
73,78,1.5621,Directed
79,76,2.2750,Directed
71,59,0.7889,Directed
78,79,0.8003,Directed
82,81,0.7803,Directed
71,84,1.4898,Directed
76,74,0.7329,Directed
73,89,0.8681,Directed
82,76,1.5574,Directed
59,77,0.7774,Directed
59,76,0.7699,Directed
89,90,1.6088,Directed
74,90,1.5521,Directed
86,74,0.7632,Directed
90,76,1.4654,Directed
91,90,0.8697,Directed
89,92,2.4074,Directed
90,89,1.4993,Directed
90,74,0.7578,Directed
83,91,0.7949,Directed
82,89,1.5695,Directed
89,82,1.5346,Directed
70,78,0.7815,Directed
70,89,0.7715,Directed
77,82,0.7379,Directed
79,73,0.7502,Directed
86,73,1.5493,Directed
82,74,0.7627,Directed
74,81,0.7932,Directed
89,88,0.7171,Directed
79,81,0.7460,Directed
78,85,0.7742,Directed
74,79,0.7885,Directed
79,90,0.7888,Directed
82,73,1.5115,Directed
89,77,1.5622,Directed
76,81,0.8003,Directed
77,84,1.5366,Directed
82,77,0.7053,Directed
82,90,0.7912,Directed
91,88,0.6667,Directed
91,86,0.7694,Directed
89,83,0.7929,Directed
74,86,0.7819,Directed
77,81,0.7999,Directed
86,87,0.7834,Directed
87,84,0.8002,Directed
87,77,0.7352,Directed
91,87,0.7329,Directed
89,74,0.7762,Directed
81,90,0.7845,Directed
84,77,0.7779,Directed
90,99,0.7760,Directed
89,99,0.8378,Directed
89,98,0.7602,Directed
98,95,0.7920,Directed
81,88,0.7988,Directed
88,86,0.7708,Directed
94,100,0.8596,Directed
