step,agent_id,cumulative_interest,repository_size,k_value,boredom_triggered,num_self_evals,num_other_evals,num_shares,num_domain_adoptions,avg_novelty_generated,avg_interest_generated
0,0,0.6499893537142688,3,15,False,1,2,1,2,1.0,0.9999836210988751
0,1,0.6499995083458803,3,15,False,1,2,1,2,1.0,0.9999992436090465
0,2,0.6499997019194548,6,15,False,1,5,1,5,1.0,0.9999995414145457
0,3,0.6499997018936725,5,15,False,1,4,1,4,1.0,0.9999995413748808
0,4,0.6499933858147872,2,15,False,1,1,1,1,1.0,0.9999898243304418
0,5,0.6499999940343756,3,15,False,1,2,1,2,1.0,0.9999999908221162
0,6,0.6499988877928865,4,15,False,1,3,1,3,1.0,0.999998288912133
0,7,0.6499998945863416,8,15,False,1,7,1,7,1.0,0.9999998378251409
0,8,0.6499970378557433,4,15,False,1,3,1,3,1.0,0.9999954428549895
0,9,0.6499999845467384,2,15,False,1,1,1,1,1.0,0.9999999762257513
0,10,0.649999938392696,4,15,False,1,3,1,3,1.0,0.9999999052195323
0,11,0.6476787580376808,3,15,False,1,2,1,2,1.0,0.9964288585195089
0,12,0.6499999595742559,2,15,False,1,1,1,1,1.0,0.9999999378065476
0,13,0.6499264399355285,4,15,False,1,3,1,3,1.0,0.9998868306700437
0,14,0.6499999965839343,2,15,False,1,1,1,1,1.0,0.9999999947445142
0,15,0.649999564689123,4,15,False,1,3,1,3,1.0,0.9999993302909584
0,16,0.6499996944456127,4,15,False,1,3,1,3,1.0,0.9999995299163271
0,17,0.6499934839307048,5,15,False,1,4,1,4,1.0,0.9999899752780073
0,18,0.6499952173707686,7,15,False,1,6,1,6,1.0,0.9999926421088747
0,19,0.649999999358718,5,15,False,1,4,1,4,1.0,0.9999999990134123
10,0,0.08022126810914026,13,15,False,11,4,1,2,0.6223360472701598,0.4281556189110509
10,1,0.21096506557047082,9,15,False,11,2,1,2,0.5943795484867442,0.4577259065394163
10,2,0.36169382853885584,24,15,False,11,8,1,5,0.619304157594692,0.3389855215236454
10,3,0.16532698926128858,18,15,False,11,4,1,4,0.5900578617418694,0.3374712826058784
10,4,0.20459400551771934,13,15,False,11,3,1,1,0.6078315464404279,0.47924766302527594
10,5,0.665861670147468,14,15,False,11,3,1,2,0.5554066357457519,0.49044657117865975
10,6,0.07796427544430323,15,15,False,11,3,1,3,0.5555992719002852,0.36701284494405506
10,7,0.36928876367624014,24,15,False,11,8,2,7,0.6213981043276423,0.3084239405096261
10,8,0.02710279331399843,17,15,False,11,4,1,3,0.6394633747407018,0.3656148868684655
10,9,0.5485337546726208,13,15,False,11,2,2,1,0.5911591860571828,0.529182451876843
10,10,0.32127114644411947,17,15,False,11,3,1,3,0.5691487411592762,0.3821995818968537
10,11,0.008454321504939362,17,15,False,11,4,1,2,0.5829047870579498,0.4077744719487581
10,12,0.2782101328835406,14,15,False,11,4,1,1,0.5810881210919601,0.5105442764525343
10,13,0.015741333090814175,17,15,False,11,5,1,3,0.6003156365894521,0.36811822294701846
10,14,0.7145859125614118,12,15,False,11,2,3,1,0.6330097603260163,0.6680546268780222
10,15,0.3972958939151697,15,15,False,11,3,2,3,0.6036439151940848,0.42683872833736436
10,16,0.34442191740042066,14,15,False,11,5,1,3,0.5793746784217323,0.4113984307579347
10,17,0.10960779449621849,22,15,False,11,5,1,4,0.6050120849717348,0.26579743182737814
10,18,0.2238678634398737,24,15,False,11,7,1,6,0.6347996335851371,0.26147776083801333
10,19,0.734357042031665,14,15,False,11,5,4,4,0.6365013691732152,0.64140989484358
20,0,0.23001312121195652,30,15,False,21,11,2,3,0.429454740070781,0.31948448975348254
20,1,0.505410721414921,30,15,False,21,13,3,5,0.42918777343397885,0.41686986901215173
20,2,0.5310652350705828,42,15,False,21,16,4,7,0.42595400483697915,0.3618520251628096
20,3,0.5095021126376714,40,15,False,21,16,4,6,0.4284374868034027,0.35818827632487354
20,20,0.0,0,15,False,0,0,0,0,0.0,0.0
20,5,0.66582049933094,31,15,False,21,10,9,4,0.3952755401139549,0.554047834359997
20,6,0.44803315900054796,32,15,False,21,11,5,3,0.4198365492784654,0.38944646025448837
20,7,0.505158657201425,38,15,False,21,12,3,7,0.42850052385044907,0.33910799550451654
20,8,0.36186742186110454,33,15,False,21,11,1,4,0.46683756034919294,0.2520232207132532
20,9,0.6040417317226976,24,15,False,21,4,9,2,0.44520656348546744,0.575178538913833
20,10,0.5967566679134513,40,15,False,21,16,3,6,0.38307766253872155,0.3868011144220689
20,11,0.3046326555235883,40,15,False,21,14,1,2,0.43408376945418975,0.26778327071701497
20,21,0.0,0,15,False,0,0,0,0,0.0,0.0
20,13,0.08638152928874396,40,15,False,21,14,1,3,0.41318220808780737,0.23072161261951676
20,14,0.5978375533206626,31,15,False,21,11,8,5,0.45489410985564926,0.6121729893311145
20,15,0.4508508101719523,30,15,False,21,10,2,5,0.4221875442466198,0.32433181375263015
20,16,0.6472040750641923,31,15,False,21,12,3,3,0.42299950539910536,0.37147728430965904
20,17,0.37286140474917234,35,15,False,21,9,2,4,0.4061204796788114,0.22086866925383727
20,18,0.3791572907899683,42,15,False,21,16,5,9,0.5093001033696368,0.32323953197427885
20,19,0.6785404255581158,30,15,False,21,11,9,6,0.43422483207514195,0.5966542581678591
30,26,0.540945939617945,5,15,False,4,1,1,0,0.2712820418026263,0.29020623607779744
30,1,0.5916846668057351,48,15,False,31,21,4,8,0.39136735001539036,0.405424776194033
30,28,0.0014852064518143888,4,15,False,1,2,0,0,0.018857582765296588,0.0022849330027913672
30,3,0.5151944927380364,58,15,False,31,25,6,6,0.3824848141172643,0.4116443036988136
30,20,0.2969387404093434,17,15,False,10,5,1,0,0.1865919023054557,0.11376307209651446
30,5,0.6951319322741172,46,15,False,31,16,13,5,0.3354763990224971,0.5481705787787184
30,6,0.5456691951507826,47,15,False,31,16,7,4,0.38439352468525895,0.39881045326715
30,7,0.6198887918455088,51,15,False,31,15,7,8,0.3783899815664636,0.4033292966424991
30,22,0.22255422463189106,17,15,False,9,6,1,0,0.18159485061652264,0.15766544239926794
30,9,0.6200250608740678,36,15,False,31,6,16,2,0.384075738840573,0.5925288654689674
30,23,0.17124621951484637,15,15,False,8,6,1,2,0.16657176881949193,0.12781064251837737
30,11,0.07224406853778133,65,15,False,31,24,1,2,0.39496452586211606,0.2053575068859423
30,21,0.36273282272766605,18,15,False,10,6,1,0,0.21769510715986717,0.16444962037392133
30,13,0.31119678201654405,55,15,False,31,18,2,3,0.34110439293788936,0.18937045700516453
30,27,0.3043141872991914,10,15,False,4,5,0,0,0.23760543552449453,0.21878186322169918
30,15,0.5731359309200696,42,15,False,31,13,2,7,0.3390651561482427,0.25677382642656943
30,24,0.17228931233335182,18,15,False,8,8,1,1,0.13516717581366297,0.12911998241111378
30,25,0.6447863463152983,9,15,False,6,4,2,2,0.23058694511144365,0.4737385880159943
30,18,0.5976609457781346,59,15,False,31,23,7,10,0.4522817030977069,0.3247151595595258
30,19,0.7655057127980416,47,15,False,31,18,13,7,0.39440432297633365,0.5797072957957274
40,26,0.328430030597557,19,15,False,14,6,2,1,0.1918000915556426,0.3704199882777904
40,31,0.011244813732526419,2,15,False,1,0,0,0,0.020421585009539635,0.017299713434656028
40,28,0.07684827034103295,22,15,False,11,6,0,0,0.14536966666471957,0.042765650163720095
40,3,0.3938731112375117,76,15,False,41,33,8,10,0.351546732750091,0.41557900628910016
40,20,0.15197946953011746,33,15,False,20,10,1,1,0.2530105642626664,0.1381219693965035
40,5,0.6806994175389509,58,15,False,41,19,16,6,0.31378271435623417,0.5236862390824586
40,6,0.3327900079429733,61,15,False,41,20,10,7,0.3682580397187813,0.4104494853947627
40,7,0.32552396520180094,68,15,False,41,23,10,12,0.3576390767981489,0.40156459542463563
40,22,0.4338083892650014,30,15,False,19,10,2,0,0.23097423334111764,0.22539133073291592
40,9,0.7386622506197209,48,15,False,41,8,19,4,0.3607241182175705,0.5734818780582057
40,23,0.25441171353321446,34,15,False,18,15,1,4,0.15814644030415545,0.09296690030521385
40,29,0.03139074372956388,19,15,False,8,5,0,0,0.0660012357852566,0.020351909150839825
40,21,0.25980357902639956,36,15,False,20,16,1,0,0.19392009513291225,0.16921381866764024
40,13,0.15352365448603905,72,15,False,41,24,4,3,0.3418525409146421,0.1914473044001376
40,27,0.35006415889109577,25,15,False,14,8,0,0,0.17808807138926605,0.12267350212580018
40,15,0.37533377034871973,60,15,False,41,21,3,10,0.29775185455811204,0.26372293827027243
40,24,0.6314937399147973,32,15,False,18,12,2,1,0.2485159828857303,0.186399292670657
40,25,0.6565314751340197,25,15,False,16,10,5,2,0.22581730832653965,0.5184921285465991
40,30,0.7122028352261501,10,15,False,4,5,1,1,0.15443385766607856,0.20715095632069025
40,19,0.7719532852026387,59,15,False,41,21,20,9,0.3590853466435159,0.5920518783683588
50,26,0.6344314699149542,35,15,False,24,12,3,2,0.18519951080301122,0.4020398541980152
50,31,0.14088585478027754,21,15,False,11,7,2,0,0.15689818690403004,0.1837418461394149
50,28,0.5149663829252578,41,15,False,21,13,2,0,0.2272248640609268,0.14743271036366415
50,3,0.5129659718052684,89,15,False,51,36,10,10,0.3502450093998048,0.4161670329112304
50,20,0.23405025149027958,52,15,False,30,17,2,2,0.2555758756512097,0.1603126953369922
50,5,0.5965953234306093,69,15,False,51,20,22,6,0.2986933933006394,0.5473148140490348
50,6,0.6310649339734471,78,15,False,51,27,11,9,0.3628247888847695,0.3910654824065678
50,32,0.14703807311384792,9,15,False,4,4,0,2,0.11541718529504671,0.21835647362685034
50,22,0.3513058597577756,54,15,False,29,22,2,1,0.2305008334227001,0.21611493933838058
50,9,0.691835994524993,62,15,False,51,13,24,6,0.3579991524809028,0.565982658679212
50,23,0.5222355847988157,53,15,False,28,22,2,4,0.20565320462944586,0.14568971342984366
50,29,0.1442241054312503,40,15,False,18,14,1,1,0.15324658937488653,0.1061658316194213
50,21,0.4630314473995073,56,15,False,30,26,2,0,0.22941428669489697,0.2269071211242727
50,33,0.29127300417404683,5,15,False,4,1,0,0,0.09408607267113857,0.2992883039487154
50,27,0.3552511520114312,37,15,False,24,10,2,1,0.23844392434292594,0.19643416512209347
50,15,0.568553275539036,75,15,False,51,26,6,11,0.27680946797571415,0.2756403731958915
50,24,0.18672905529548917,43,15,False,28,14,2,1,0.2045518184390791,0.15774615340506695
50,25,0.5954903972601047,40,15,False,26,17,12,2,0.252919584453614,0.5146697061432881
50,30,0.22560254009427544,25,15,False,14,12,1,2,0.2236043293846192,0.21599522338088725
50,19,0.6486798702372272,78,15,False,51,30,25,13,0.3334730253263324,0.6031084606290392
60,38,0.3472148104585081,7,15,False,4,2,0,1,0.14967077546076527,0.3830345788752797
60,31,0.6087914787918614,39,15,False,21,16,4,1,0.20096807029728087,0.24753473079039928
60,34,0.4359957314486319,11,15,False,7,4,1,1,0.13061677459281668,0.5151191622245486
60,37,0.12640504595829496,16,15,False,6,6,0,2,0.13916430763415377,0.06821221675555436
60,35,0.0811127621069437,14,15,False,7,2,0,1,0.12853346432383336,0.05458310404687483
60,5,0.6825307833536574,84,15,False,61,25,25,7,0.3130122366049284,0.5405974812897674
60,39,0.0,0,15,False,0,0,0,0,0.0,0.0
60,32,0.521136547753082,30,15,False,14,15,2,5,0.20790831759684034,0.3514507779836289
60,22,0.3060038460399135,68,15,False,39,25,2,1,0.22944892524275212,0.20979815064694585
60,9,0.4879925078960212,75,15,False,61,16,31,7,0.3589288196195608,0.5714582593421129
60,23,0.14875848093568983,73,15,False,38,32,3,7,0.2268977089808115,0.1837344382245334
60,29,0.40198821212013836,57,15,False,28,19,2,2,0.19581614057626867,0.16444816194442938
60,21,0.4039815369486157,73,15,False,40,33,5,2,0.2507915565365796,0.27796382199497116
60,33,0.63320969192293,23,15,False,14,9,3,2,0.18831300252536254,0.4955129414961995
60,27,0.41429079015644216,55,15,False,34,18,5,3,0.2761334953954296,0.2531098991646358
60,36,0.4320666915346377,13,15,False,7,5,0,0,0.12279584634622623,0.41961528836228873
60,24,0.27932106242192234,61,15,False,38,22,2,1,0.2064584980361647,0.17421349008355433
60,25,0.6575908351321404,54,15,False,36,21,16,2,0.305843658189932,0.4965034257110712
60,30,0.24086145152533506,40,15,False,24,14,3,3,0.2449841075191399,0.2235593571627711
